Stkcd	Accper	Typrep	Indcd	F070101B	F070201B
000014	2011-03-31	A	K70	.282450	1.000000
000014	2010-12-31	A	K70	1.148020	1.080434
000014	2010-09-30	A	K70	1.164274	1.000000
000014	2010-06-30	A	K70	1.090366	1.045158
000014	2010-03-31	A	K70	1.050918	1.000000
000014	2009-12-31	A	K70	1.325018	1.052319
000014	2009-09-30	A	K70	1.317120	1.000000
000014	2009-06-30	A	K70	1.482626	1.056624
000014	2009-03-31	A	K70	-2.024825	1.000000
000014	2008-12-31	A	K70	1.197053	1.110576
000014	2008-09-30	A	K70	.819197	1.000000
000014	2008-06-30	A	K70	.782742	.832526
000014	2008-03-31	A	K70	.769084	1.000000
000014	2007-12-31	A	K70	3.931188	1.560473
000014	2007-09-30	A	K70	.484342	1.000000
000014	2007-06-30	A	K70	.083777	-7.804177
000014	2007-03-31	A	K70	.501567	1.000000
000014	2006-12-31	A	K70	1.187445	1.141700
000014	2006-09-30	A	K70	1.049550	1.076970
000014	2006-06-30	A	K70	1.045988	1.054506
000014	2006-03-31	A	K70	1.058212	1.056520
000014	2005-12-31	A	K70	1.310077	1.113302
000014	2005-09-30	A	K70	1.127873	1.117076
000014	2005-06-30	A	K70	1.192536	1.084602
000014	2005-03-31	A	K70	1.219192	1.118955
000014	2004-12-31	A	K70	1.182456	1.142125
000014	2004-09-30	A	K70	1.445467	1.206395
000014	2004-06-30	A	K70	1.643100	1.214814
000014	2004-03-31	A	K70	1.985525	1.304252
000016	2014-09-30	A	C39	2.237917	1.000000
000016	2014-06-30	A	C39	2.224832	1.412849
000016	2014-03-31	A	C39	3.471401	1.000000
000016	2013-12-31	A	C39	.672433	2.257938
000016	2013-09-30	A	C39	.798239	1.000000
000016	2013-06-30	A	C39	.636371	2.931350
000016	2013-03-31	A	C39	4.001044	1.000000
000016	2012-12-31	A	C39	2.954960	1.590044
000016	2012-09-30	A	C39	4.312007	1.000000
000016	2012-06-30	A	C39	3.543053	1.487661
000016	2012-03-31	A	C39	3.750496	1.000000
000016	2011-12-31	A	C39	6.088977	3.489124
000016	2011-09-30	A	C39	.192963	1.000000
000016	2011-06-30	A	C39	.593939	.333030
000016	2011-03-31	A	C39	.819630	1.000000
000016	2010-12-31	A	C39	.612974	3.716453
000016	2010-09-30	A	C39	.983931	1.000000
000016	2010-06-30	A	C39	1.280516	1.525380
000016	2010-03-31	A	C39	1.442220	1.000000
000016	2009-12-31	A	C39	1.373612	1.665537
000016	2009-09-30	A	C39	1.296882	1.000000
000016	2009-06-30	A	C39	1.184726	1.658392
000016	2009-03-31	A	C39	1.318642	1.000000
000016	2008-12-31	A	C39	1.004695	1.420503
000016	2008-09-30	A	C39	1.022726	1.000000
000016	2008-06-30	A	C39	1.176784	1.565148
000016	2008-03-31	A	C39	1.146537	1.000000
000016	2007-12-31	A	C39	1.164794	1.504021
000016	2007-09-30	A	C39	1.340113	1.000000
000016	2007-06-30	A	C39	1.318975	1.941782
000016	2007-03-31	A	C39	1.228532	1.000000
000016	2006-12-31	A	C39	1.104468	1.983698
000016	2006-09-30	A	C39	1.116277	2.267034
000016	2006-06-30	A	C39	1.142457	2.597387
000016	2006-03-31	A	C39	1.062778	2.278701
000016	2005-12-31	A	C39	1.401327	4.677970
000016	2005-09-30	A	C39	1.139762	3.348075
000016	2005-06-30	A	C39	1.200035	3.924659
000016	2005-03-31	A	C39	1.100594	2.821014
000016	2004-12-31	A	C39	1.040902	1.884604
000016	2004-09-30	A	C39	1.042461	2.399548
