Stkcd	Accper	C001000000
000022	2014-09-30	481588587.65
000022	2014-06-30	282633209.75
000022	2014-03-31	147151915.58
000022	2013-12-31	897178297.23
000022	2013-01-01	698472452.71
000022	2013-09-30	628542814.00
000022	2013-06-30	357817145.00
000022	2013-03-31	141992180.00
000022	2012-12-31	698472452.00
000022	2012-01-01	746190596.00
000022	2012-09-30	531392749.00
000022	2012-06-30	348987301.00
000022	2012-03-31	132040260.00
000022	2011-12-31	746190596.00
000022	2011-09-30	541749317.00
000022	2011-06-30	301380845.00
000022	2011-03-31	181271709.00
000022	2010-12-31	926845569.00
000022	2010-09-30	632091777.00
000022	2010-06-30	377587237.00
000022	2010-03-31	153730137.00
000022	2009-12-31	726501993.00
000022	2009-09-30	466532696.00
000022	2009-06-30	294064935.00
000022	2009-03-31	169933994.00
000022	2008-12-31	1090354989.00
000022	2008-09-30	840927735.00
000022	2008-06-30	546900230.00
000022	2008-03-31	266199504.00
000022	2007-12-31	1197492986.00
000022	2007-09-30	793852929.00
000022	2007-06-30	530121444.00
000022	2007-03-31	218863553.00
000022	2006-12-31	1146012470.00
000022	2006-09-30	791285939.00
000022	2006-06-30	506411505.00
000022	2006-03-31	215690057.00
000022	2005-12-31	1216120674.00
000022	2005-09-30	959123924.00
000022	2005-06-30	622580280.00
000022	2005-03-31	261328029.00
000022	2004-12-31	1037507002.00
000022	2004-09-30	694441313.00
000022	2004-06-30	433591080.00
000022	2004-03-31	219687779.00
000023	2014-09-30	-45017505.18
